item_id,title,category,subcategory,price,currency,tags,description,brand,target_gender,age_group_label,age_min,age_max,rating,stock,created_at
100012,Vibrant Children's Book,Books,Children's Book,628.25,INR,"children's_book,books,for-her,budget,gift",UrbanCraft presents the Vibrant Children's Book. Perfect for birthdays and special occasions. Compact and easy to carry.,UrbanCraft,boys,young_adult,20,35,4.06,449,2025-10-03
100013,Vibrant Wall Art,Home & Kitchen,Wall Art,130.87,INR,"wall_art,home_&_kitchen,custom,home,for-kids",Vibrant Wall Art is crafted with care by ShineCraft. A delightful present for senior who loves wall art.,ShineCraft,unisex,senior,61,100,3.74,484,2025-09-06
100014,Artisan Pendant,Jewelry,Pendant,50.0,INR,"pendant,jewelry,luxury,for-her,home","Give the Artisan Pendant as a thoughtful gift — high-quality, well-designed and ideal for unisex.",FrameArt,unisex,senior,61,100,3.7,224,2025-09-15
100015,Elegant Scented Candle,Home & Kitchen,Scented Candle,71.94,INR,"scented_candle,home_&_kitchen,budget,home,gift","Elegant Scented Candle by ShineCraft. A great gift for girls in the senior age group. Practical, stylish and long-lasting.",ShineCraft,girls,senior,61,100,4.47,362,2025-11-02
100016,Premium Leather Journal,Stationery,Leather Journal,806.93,INR,"leather_journal,stationery,for-him,office,portable",BrightHome presents the Premium Leather Journal. Perfect for birthdays and special occasions. Compact and easy to carry.,BrightHome,boys,teen,13,19,3.49,370,2025-10-19
100017,Vibrant Tea Gift Set,Food & Beverages,Tea Gift Set,478.48,INR,"tea_gift_set,food_&_beverages,valentine,birthday,luxury",Vibrant Tea Gift Set is crafted with care by FrameArt. A delightful present for child who loves tea gift set.,FrameArt,boys,child,3,12,3.92,239,2025-01-22
100018,Premium Skincare Set,Beauty & Personal Care,Skincare Set,50.0,INR,"skincare_set,beauty_&_personal_care,budget,luxury,portable",Premium Skincare Set is crafted with care by CustomCraft. A delightful present for child who loves skincare set.,CustomCraft,unisex,child,3,12,3.89,71,2025-07-06
100019,Elegant Ring,Jewelry,Ring,760.38,INR,"ring,jewelry,portable,handmade,for-kids","Elegant Ring by ShineCraft. A great gift for girls in the senior age group. Practical, stylish and long-lasting.",ShineCraft,girls,senior,61,100,4.19,496,2025-02-25
100020,Luxury Notebooks,Stationery,Notebooks,261.48,INR,"notebooks,stationery,handmade,eco,luxury","Luxury Notebooks by SparkModa. A great gift for girls in the adult age group. Practical, stylish and long-lasting.",SparkModa,girls,adult,36,60,5.0,199,2025-05-26
100021,Luxury Gourmet Snacks,Food & Beverages,Gourmet Snacks,143.07,INR,"gourmet_snacks,food_&_beverages,custom,luxury,home",PeakActive presents the Luxury Gourmet Snacks. Perfect for birthdays and special occasions. Compact and easy to carry.,PeakActive,unisex,adult,36,60,4.6,495,2025-01-19
100022,Premium Terrarium Kit,Gardening & Decor,Terrarium Kit,2444.96,INR,"terrarium_kit,gardening_&_decor,office,eco,gift","Premium Terrarium Kit by BrightHome. A great gift for boys in the senior age group. Practical, stylish and long-lasting.",BrightHome,boys,senior,61,100,4.11,435,2025-03-03
100023,Elegant Fiction,Books,Fiction,1784.6,INR,"fiction,books,budget,handmade,for-her","Elegant Fiction by CustomCraft. A great gift for boys in the senior age group. Practical, stylish and long-lasting.",CustomCraft,boys,senior,61,100,4.44,214,2025-11-19
100024,Comfort Self Help,Books,Self Help,64.86,INR,"self_help,books,budget,for-him,luxury",FitTrack presents the Comfort Self Help. Perfect for birthdays and special occasions. Compact and easy to carry.,FitTrack,boys,young_adult,20,35,3.5,343,2025-11-10
100025,Deluxe Gourmet Snacks,Food & Beverages,Gourmet Snacks,221.59,INR,"gourmet_snacks,food_&_beverages,portable,travel,for-him",UrbanCraft presents the Deluxe Gourmet Snacks. Perfect for birthdays and special occasions. Compact and easy to carry.,UrbanCraft,girls,senior,61,100,3.21,259,2025-05-05
100026,Elegant Scarf,Fashion Accessories,Scarf,1235.19,INR,"scarf,fashion_accessories,for-her,gift,for-kids","Give the Elegant Scarf as a thoughtful gift — high-quality, well-designed and ideal for girls.",TeaTime,girls,adult,36,60,3.33,477,2025-11-04
100027,Compact Engraved Keychain,Personalized Gifts,Engraved Keychain,547.68,INR,"engraved_keychain,personalized_gifts,for-him,for-her,office",ThermoCo presents the Compact Engraved Keychain. Perfect for birthdays and special occasions. Compact and easy to carry.,ThermoCo,unisex,teen,13,19,3.56,367,2025-06-07
100028,Minimal Grooming Kit,Beauty & Personal Care,Grooming Kit,106.33,INR,"grooming_kit,beauty_&_personal_care,travel,valentine,office","Give the Minimal Grooming Kit as a thoughtful gift — high-quality, well-designed and ideal for girls.",SparkModa,girls,child,3,12,4.29,22,2025-01-11
100029,Eco Engraved Keychain,Personalized Gifts,Engraved Keychain,913.96,INR,"engraved_keychain,personalized_gifts,gift,portable,handmade",GreenLeaf presents the Eco Engraved Keychain. Perfect for birthdays and special occasions. Compact and easy to carry.,GreenLeaf,unisex,adult,36,60,4.44,279,2025-01-27
100030,Smart Tie,Fashion Accessories,Tie,1032.65,INR,"tie,fashion_accessories,for-her,birthday,festival","Smart Tie by SoundX. A great gift for girls in the child age group. Practical, stylish and long-lasting.",SoundX,girls,child,3,12,3.9,460,2025-06-07
100031,Compact Perfume,Beauty & Personal Care,Perfume,86.21,INR,"perfume,beauty_&_personal_care,custom,budget,valentine",TeaTime presents the Compact Perfume. Perfect for birthdays and special occasions. Compact and easy to carry.,TeaTime,unisex,adult,36,60,3.69,499,2025-03-14
100032,Comfort Portable Charger,Electronics,Portable Charger,1391.97,INR,"portable_charger,electronics,for-him,eco,anniversary","Comfort Portable Charger by FrameArt. A great gift for unisex in the teen age group. Practical, stylish and long-lasting.",FrameArt,unisex,teen,13,19,3.25,195,2025-01-28
100033,Personalized Tea Gift Set,Food & Beverages,Tea Gift Set,50.0,INR,"tea_gift_set,food_&_beverages,budget,gift,for-kids",GreenLeaf presents the Personalized Tea Gift Set. Perfect for birthdays and special occasions. Compact and easy to carry.,GreenLeaf,girls,teen,13,19,4.55,204,2025-06-09
100034,Slim Photo Frame,Home & Kitchen,Photo Frame,260.74,INR,"photo_frame,home_&_kitchen,for-kids,gift,handmade","Give the Slim Photo Frame as a thoughtful gift — high-quality, well-designed and ideal for girls.",GlowUp,girls,senior,61,100,4.59,91,2025-10-09
100035,Artisan Headphones,Electronics,Headphones,710.42,INR,"headphones,electronics,valentine,portable,luxury",FrameArt presents the Artisan Headphones. Perfect for birthdays and special occasions. Compact and easy to carry.,FrameArt,girls,young_adult,20,35,3.55,130,2025-01-23
100036,Minimal Puzzle,Toys & Games,Puzzle,1527.58,INR,"puzzle,toys_&_games,birthday,valentine,handmade","Give the Minimal Puzzle as a thoughtful gift — high-quality, well-designed and ideal for unisex.",PeakActive,unisex,teen,13,19,3.48,319,2025-06-22
100037,Handcrafted Wall Art,Home & Kitchen,Wall Art,874.39,INR,"wall_art,home_&_kitchen,for-kids,anniversary,birthday","Give the Handcrafted Wall Art as a thoughtful gift — high-quality, well-designed and ideal for girls.",GlowUp,girls,adult,36,60,3.96,283,2025-03-07
100038,Eco DIY Kit,Toys & Games,DIY Kit,1001.27,INR,"diy_kit,toys_&_games,gift,for-her,custom",HandyGifts presents the Eco DIY Kit. Perfect for birthdays and special occasions. Compact and easy to carry.,HandyGifts,unisex,adult,36,60,4.75,220,2025-10-20
100039,Cute Grooming Kit,Beauty & Personal Care,Grooming Kit,476.57,INR,"grooming_kit,beauty_&_personal_care,home,office,anniversary",GreenLeaf presents the Cute Grooming Kit. Perfect for birthdays and special occasions. Compact and easy to carry.,GreenLeaf,girls,teen,13,19,4.17,337,2025-02-10
100040,Comfort Skipping Rope,Fitness & Sports,Skipping Rope,517.78,INR,"skipping_rope,fitness_&_sports,for-her,budget,anniversary",ShineCraft presents the Comfort Skipping Rope. Perfect for birthdays and special occasions. Compact and easy to carry.,ShineCraft,unisex,teen,13,19,3.8,75,2025-01-02
100041,Artisan Planner,Stationery,Planner,79.92,INR,"planner,stationery,luxury,anniversary,budget",Artisan Planner is crafted with care by ShineCraft. A delightful present for senior who loves planner.,ShineCraft,girls,senior,61,100,3.97,124,2025-03-21
100042,Compact Planter,Gardening & Decor,Planter,50.0,INR,"planter,gardening_&_decor,festival,handmade,for-him",FrameArt presents the Compact Planter. Perfect for birthdays and special occasions. Compact and easy to carry.,FrameArt,boys,senior,61,100,3.29,469,2025-02-15
100043,Minimal Personalized Journal,Personalized Gifts,Personalized Journal,497.31,INR,"personalized_journal,personalized_gifts,home,valentine,office",Minimal Personalized Journal is crafted with care by PeakActive. A delightful present for adult who loves personalized journal.,PeakActive,unisex,adult,36,60,4.52,459,2025-03-24
100044,Modern Coffee Beans,Food & Beverages,Coffee Beans,1666.89,INR,"coffee_beans,food_&_beverages,home,office,for-kids",PowerGo presents the Modern Coffee Beans. Perfect for birthdays and special occasions. Compact and easy to carry.,PowerGo,unisex,young_adult,20,35,3.73,140,2025-08-03
100045,Elegant Mini Garden Kit,Gardening & Decor,Mini Garden Kit,986.12,INR,"mini_garden_kit,gardening_&_decor,travel,custom,home",FitTrack presents the Elegant Mini Garden Kit. Perfect for birthdays and special occasions. Compact and easy to carry.,FitTrack,girls,senior,61,100,3.25,196,2025-03-23
100046,Luxury Leather Journal,Stationery,Leather Journal,181.86,INR,"leather_journal,stationery,valentine,handmade,portable",Luxury Leather Journal is crafted with care by FrameArt. A delightful present for adult who loves leather journal.,FrameArt,girls,adult,36,60,3.89,199,2025-10-23
100047,Colorful Camera Accessory,Electronics,Camera Accessory,123.07,INR,"camera_accessory,electronics,for-her,anniversary,valentine",Colorful Camera Accessory is crafted with care by CustomCraft. A delightful present for young_adult who loves camera accessory.,CustomCraft,girls,young_adult,20,35,3.79,275,2025-09-26
100048,Vibrant Non-Fiction,Books,Non-Fiction,1858.47,INR,"non-fiction,books,gift,anniversary,eco",Vibrant Non-Fiction is crafted with care by PowerGo. A delightful present for adult who loves non-fiction.,PowerGo,girls,adult,36,60,4.25,370,2025-03-27
100049,Artisan Tea Gift Set,Food & Beverages,Tea Gift Set,1436.06,INR,"tea_gift_set,food_&_beverages,gift,travel,for-kids",Artisan Tea Gift Set is crafted with care by PeakActive. A delightful present for adult who loves tea gift set.,PeakActive,boys,adult,36,60,4.58,69,2025-08-06
100050,Portable Smart Lamp,Electronics,Smart Lamp,1139.58,INR,"smart_lamp,electronics,for-kids,anniversary,custom",Portable Smart Lamp is crafted with care by BrightHome. A delightful present for young_adult who loves smart lamp.,BrightHome,boys,young_adult,20,35,4.69,129,2025-02-16
100051,Smart Phone Case,Electronics,Phone Case,1584.97,INR,"phone_case,electronics,budget,travel,anniversary","Smart Phone Case by HomeSoul. A great gift for unisex in the young_adult age group. Practical, stylish and long-lasting.",HomeSoul,unisex,young_adult,20,35,4.09,386,2025-01-08
100052,Artisan Leather Journal,Stationery,Leather Journal,267.91,INR,"leather_journal,stationery,portable,luxury,budget","Give the Artisan Leather Journal as a thoughtful gift — high-quality, well-designed and ideal for boys.",SoundX,boys,adult,36,60,3.87,392,2025-06-06
100053,Compact Self Help,Books,Self Help,389.94,INR,"self_help,books,gift,for-her,office",Compact Self Help is crafted with care by CalmScents. A delightful present for child who loves self help.,CalmScents,unisex,child,3,12,3.82,203,2025-04-03
100054,Compact Non-Fiction,Books,Non-Fiction,1192.68,INR,"non-fiction,books,portable,handmade,eco",Compact Non-Fiction is crafted with care by ChocoDelight. A delightful present for senior who loves non-fiction.,ChocoDelight,unisex,senior,61,100,2.67,338,2025-06-03
100055,Classic Water Bottle,Fitness & Sports,Water Bottle,175.82,INR,"water_bottle,fitness_&_sports,valentine,birthday,for-kids",Classic Water Bottle is crafted with care by FrameArt. A delightful present for child who loves water bottle.,FrameArt,unisex,child,3,12,4.17,362,2025-03-14
100056,Modern Photo Collage,Personalized Gifts,Photo Collage,89.38,INR,"photo_collage,personalized_gifts,office,festival,luxury","Give the Modern Photo Collage as a thoughtful gift — high-quality, well-designed and ideal for unisex.",HandyGifts,unisex,senior,61,100,4.23,165,2025-04-27
100057,Cute Photo Frame,Home & Kitchen,Photo Frame,273.27,INR,"photo_frame,home_&_kitchen,anniversary,for-kids,gift",Cute Photo Frame is crafted with care by PowerGo. A delightful present for senior who loves photo frame.,PowerGo,unisex,senior,61,100,3.92,435,2025-06-06
100058,Slim Tea Gift Set,Food & Beverages,Tea Gift Set,512.02,INR,"tea_gift_set,food_&_beverages,for-him,gift,home",FitTrack presents the Slim Tea Gift Set. Perfect for birthdays and special occasions. Compact and easy to carry.,FitTrack,girls,senior,61,100,3.53,43,2025-04-24
100059,Smart DIY Kit,Toys & Games,DIY Kit,2497.46,INR,"diy_kit,toys_&_games,festival,gift,handmade","Give the Smart DIY Kit as a thoughtful gift — high-quality, well-designed and ideal for unisex.",PowerGo,unisex,adult,36,60,4.7,113,2025-07-23
100060,Colorful Pen Set,Stationery,Pen Set,2297.41,INR,"pen_set,stationery,birthday,valentine,home","Give the Colorful Pen Set as a thoughtful gift — high-quality, well-designed and ideal for girls.",TeaTime,girls,senior,61,100,3.99,180,2025-08-09
100061,Elegant Earrings,Jewelry,Earrings,250.55,INR,"earrings,jewelry,portable,eco,home",ThermoCo presents the Elegant Earrings. Perfect for birthdays and special occasions. Compact and easy to carry.,ThermoCo,unisex,young_adult,20,35,3.16,378,2025-08-09
100062,Minimal Terrarium Kit,Gardening & Decor,Terrarium Kit,234.67,INR,"terrarium_kit,gardening_&_decor,luxury,for-her,portable","Give the Minimal Terrarium Kit as a thoughtful gift — high-quality, well-designed and ideal for girls.",HandyGifts,girls,child,3,12,4.05,91,2025-05-01
100063,Stylish Terrarium Kit,Gardening & Decor,Terrarium Kit,488.96,INR,"terrarium_kit,gardening_&_decor,for-her,custom,for-kids",Stylish Terrarium Kit is crafted with care by FitTrack. A delightful present for child who loves terrarium kit.,FitTrack,boys,child,3,12,3.78,52,2025-01-19
100064,Vibrant Ring,Jewelry,Ring,50.0,INR,"ring,jewelry,for-him,office,handmade","Vibrant Ring by GreenLeaf. A great gift for girls in the child age group. Practical, stylish and long-lasting.",GreenLeaf,girls,child,3,12,4.24,205,2025-08-03
100065,Stylish Fiction,Books,Fiction,191.7,INR,"fiction,books,travel,budget,handmade",Stylish Fiction is crafted with care by SoundX. A delightful present for young_adult who loves fiction.,SoundX,unisex,young_adult,20,35,3.87,310,2025-10-26
100066,Minimal Non-Fiction,Books,Non-Fiction,109.57,INR,"non-fiction,books,for-her,valentine,custom","Minimal Non-Fiction by CustomCraft. A great gift for girls in the adult age group. Practical, stylish and long-lasting.",CustomCraft,girls,adult,36,60,4.17,312,2025-02-25
100067,Modern Notebooks,Stationery,Notebooks,194.0,INR,"notebooks,stationery,travel,eco,gift",Modern Notebooks is crafted with care by ShineCraft. A delightful present for teen who loves notebooks.,ShineCraft,boys,teen,13,19,4.0,230,2025-10-16
100068,Elegant Necklace,Jewelry,Necklace,780.61,INR,"necklace,jewelry,travel,budget,festival","Give the Elegant Necklace as a thoughtful gift — high-quality, well-designed and ideal for unisex.",ChocoDelight,unisex,adult,36,60,3.61,403,2025-11-19
100069,Luxury Perfume,Beauty & Personal Care,Perfume,911.92,INR,"perfume,beauty_&_personal_care,for-him,custom,handmade","Luxury Perfume by ThermoCo. A great gift for unisex in the teen age group. Practical, stylish and long-lasting.",ThermoCo,unisex,teen,13,19,4.39,84,2025-05-20
100070,Handcrafted Terrarium Kit,Gardening & Decor,Terrarium Kit,320.97,INR,"terrarium_kit,gardening_&_decor,anniversary,for-him,office",Handcrafted Terrarium Kit is crafted with care by GreenLeaf. A delightful present for young_adult who loves terrarium kit.,GreenLeaf,boys,young_adult,20,35,4.7,224,2025-02-20
100071,Comfort Fitness Band,Electronics,Fitness Band,537.17,INR,"fitness_band,electronics,budget,gift,anniversary","Give the Comfort Fitness Band as a thoughtful gift — high-quality, well-designed and ideal for girls.",HandyGifts,girls,child,3,12,4.7,295,2025-01-25
100072,Minimal Personalized Journal,Personalized Gifts,Personalized Journal,66.24,INR,"personalized_journal,personalized_gifts,valentine,office,handmade",Minimal Personalized Journal is crafted with care by GreenLeaf. A delightful present for teen who loves personalized journal.,GreenLeaf,unisex,teen,13,19,3.75,178,2025-07-11
100073,Compact Cap,Fashion Accessories,Cap,144.5,INR,"cap,fashion_accessories,for-her,anniversary,valentine","Compact Cap by CalmScents. A great gift for girls in the adult age group. Practical, stylish and long-lasting.",CalmScents,girls,adult,36,60,4.46,232,2025-02-11
100074,Compact Earrings,Jewelry,Earrings,50.0,INR,"earrings,jewelry,festival,valentine,gift",CustomCraft presents the Compact Earrings. Perfect for birthdays and special occasions. Compact and easy to carry.,CustomCraft,unisex,child,3,12,4.85,265,2025-06-20
100075,Premium Coffee Beans,Food & Beverages,Coffee Beans,50.0,INR,"coffee_beans,food_&_beverages,for-her,festival,office",Premium Coffee Beans is crafted with care by WriteWell. A delightful present for teen who loves coffee beans.,WriteWell,girls,teen,13,19,4.44,62,2025-01-21
100076,Eco Non-Fiction,Books,Non-Fiction,502.34,INR,"non-fiction,books,valentine,travel,portable","Eco Non-Fiction by ChocoDelight. A great gift for unisex in the senior age group. Practical, stylish and long-lasting.",ChocoDelight,unisex,senior,61,100,4.32,236,2025-02-21
100077,Handcrafted Personalized Journal,Personalized Gifts,Personalized Journal,134.12,INR,"personalized_journal,personalized_gifts,office,home,portable",Handcrafted Personalized Journal is crafted with care by GlowUp. A delightful present for adult who loves personalized journal.,GlowUp,unisex,adult,36,60,3.39,282,2025-03-13
100078,Minimal Sticky Notes,Stationery,Sticky Notes,821.95,INR,"sticky_notes,stationery,valentine,for-kids,festival","Give the Minimal Sticky Notes as a thoughtful gift — high-quality, well-designed and ideal for unisex.",SoundX,unisex,young_adult,20,35,4.31,420,2025-01-10
100079,Colorful Mini Garden Kit,Gardening & Decor,Mini Garden Kit,103.56,INR,"mini_garden_kit,gardening_&_decor,custom,festival,for-him",Colorful Mini Garden Kit is crafted with care by StoryNest. A delightful present for adult who loves mini garden kit.,StoryNest,unisex,adult,36,60,3.92,176,2025-06-18
100080,Cute Sports Band,Fitness & Sports,Sports Band,291.99,INR,"sports_band,fitness_&_sports,anniversary,budget,valentine",Cute Sports Band is crafted with care by BrightHome. A delightful present for teen who loves sports band.,BrightHome,unisex,teen,13,19,3.82,22,2025-06-24
100081,Portable Coffee Beans,Food & Beverages,Coffee Beans,755.13,INR,"coffee_beans,food_&_beverages,custom,for-kids,valentine","Portable Coffee Beans by SoundX. A great gift for girls in the child age group. Practical, stylish and long-lasting.",SoundX,girls,child,3,12,4.28,447,2025-08-04
100082,Classic Sports Band,Fitness & Sports,Sports Band,1189.64,INR,"sports_band,fitness_&_sports,travel,office,anniversary","Give the Classic Sports Band as a thoughtful gift — high-quality, well-designed and ideal for girls.",SoundX,girls,teen,13,19,4.68,173,2025-10-23
100083,Comfort Puzzle,Toys & Games,Puzzle,193.81,INR,"puzzle,toys_&_games,office,handmade,for-her","Comfort Puzzle by PeakActive. A great gift for girls in the young_adult age group. Practical, stylish and long-lasting.",PeakActive,girls,young_adult,20,35,5.0,120,2025-11-22
100084,Deluxe Bracelet,Jewelry,Bracelet,68.41,INR,"bracelet,jewelry,festival,eco,birthday","Give the Deluxe Bracelet as a thoughtful gift — high-quality, well-designed and ideal for unisex.",FrameArt,unisex,child,3,12,3.28,462,2025-01-02
100085,Handcrafted Scarf,Fashion Accessories,Scarf,300.7,INR,"scarf,fashion_accessories,budget,valentine,for-her",TeaTime presents the Handcrafted Scarf. Perfect for birthdays and special occasions. Compact and easy to carry.,TeaTime,girls,teen,13,19,4.6,87,2025-03-03
100086,Artisan Cookbook,Books,Cookbook,906.13,INR,"cookbook,books,custom,budget,office","Give the Artisan Cookbook as a thoughtful gift — high-quality, well-designed and ideal for girls.",PowerGo,girls,senior,61,100,4.31,235,2025-05-22
100087,Cute Camera Accessory,Electronics,Camera Accessory,61.52,INR,"camera_accessory,electronics,travel,festival,eco","Give the Cute Camera Accessory as a thoughtful gift — high-quality, well-designed and ideal for unisex.",ChocoDelight,unisex,teen,13,19,4.61,327,2025-07-23
100088,Handcrafted Ring,Jewelry,Ring,123.41,INR,"ring,jewelry,portable,budget,luxury","Give the Handcrafted Ring as a thoughtful gift — high-quality, well-designed and ideal for unisex.",WriteWell,unisex,adult,36,60,4.11,294,2025-05-23
100089,Portable Necklace,Jewelry,Necklace,50.0,INR,"necklace,jewelry,office,for-her,anniversary",FitTrack presents the Portable Necklace. Perfect for birthdays and special occasions. Compact and easy to carry.,FitTrack,boys,child,3,12,4.42,310,2025-06-08
100090,Artisan Perfume,Beauty & Personal Care,Perfume,74.9,INR,"perfume,beauty_&_personal_care,portable,handmade,custom",Artisan Perfume is crafted with care by FitTrack. A delightful present for teen who loves perfume.,FitTrack,unisex,teen,13,19,4.09,17,2025-10-12
100091,Deluxe Fairy Lights,Gardening & Decor,Fairy Lights,824.12,INR,"fairy_lights,gardening_&_decor,eco,luxury,travel","Give the Deluxe Fairy Lights as a thoughtful gift — high-quality, well-designed and ideal for girls.",ChocoDelight,girls,adult,36,60,3.39,271,2025-09-09
100092,Vibrant Engraved Keychain,Personalized Gifts,Engraved Keychain,738.81,INR,"engraved_keychain,personalized_gifts,portable,festival,handmade",ChocoDelight presents the Vibrant Engraved Keychain. Perfect for birthdays and special occasions. Compact and easy to carry.,ChocoDelight,unisex,young_adult,20,35,4.37,386,2025-04-28
100093,Smart Bath Bombs,Beauty & Personal Care,Bath Bombs,189.58,INR,"bath_bombs,beauty_&_personal_care,gift,for-him,office","Smart Bath Bombs by TeaTime. A great gift for boys in the adult age group. Practical, stylish and long-lasting.",TeaTime,boys,adult,36,60,3.52,232,2025-06-22
100094,Colorful Mini Garden Kit,Gardening & Decor,Mini Garden Kit,275.54,INR,"mini_garden_kit,gardening_&_decor,portable,budget,office","Colorful Mini Garden Kit by CustomCraft. A great gift for unisex in the young_adult age group. Practical, stylish and long-lasting.",CustomCraft,unisex,young_adult,20,35,4.38,317,2025-09-11
100095,Deluxe Non-Fiction,Books,Non-Fiction,1324.37,INR,"non-fiction,books,valentine,portable,travel","Deluxe Non-Fiction by GreenLeaf. A great gift for unisex in the young_adult age group. Practical, stylish and long-lasting.",GreenLeaf,unisex,young_adult,20,35,4.63,484,2025-01-10
100096,Compact Chocolate Box,Food & Beverages,Chocolate Box,750.27,INR,"chocolate_box,food_&_beverages,anniversary,festival,eco",Compact Chocolate Box is crafted with care by PowerGo. A delightful present for teen who loves chocolate box.,PowerGo,unisex,teen,13,19,3.57,300,2025-03-14
100097,Vibrant Skincare Set,Beauty & Personal Care,Skincare Set,320.89,INR,"skincare_set,beauty_&_personal_care,handmade,birthday,portable",Vibrant Skincare Set is crafted with care by HandyGifts. A delightful present for young_adult who loves skincare set.,HandyGifts,girls,young_adult,20,35,4.07,227,2025-04-28
100098,Slim Scarf,Fashion Accessories,Scarf,215.71,INR,"scarf,fashion_accessories,handmade,anniversary,custom",PeakActive presents the Slim Scarf. Perfect for birthdays and special occasions. Compact and easy to carry.,PeakActive,unisex,young_adult,20,35,4.44,495,2025-02-28
100099,Personalized Chocolate Box,Food & Beverages,Chocolate Box,698.13,INR,"chocolate_box,food_&_beverages,for-kids,budget,travel",HandyGifts presents the Personalized Chocolate Box. Perfect for birthdays and special occasions. Compact and easy to carry.,HandyGifts,unisex,child,3,12,3.88,35,2025-09-07
100100,Elegant Non-Fiction,Books,Non-Fiction,1108.68,INR,"non-fiction,books,gift,for-him,valentine",BrightHome presents the Elegant Non-Fiction. Perfect for birthdays and special occasions. Compact and easy to carry.,BrightHome,unisex,senior,61,100,5.0,66,2025-09-09
100101,Classic Custom Mug,Personalized Gifts,Custom Mug,474.81,INR,"custom_mug,personalized_gifts,for-kids,gift,travel","Give the Classic Custom Mug as a thoughtful gift — high-quality, well-designed and ideal for boys.",SoundX,boys,teen,13,19,4.05,26,2025-03-24
100102,Compact Educational Toy,Toys & Games,Educational Toy,152.05,INR,"educational_toy,toys_&_games,home,portable,budget",ShineCraft presents the Compact Educational Toy. Perfect for birthdays and special occasions. Compact and easy to carry.,ShineCraft,girls,young_adult,20,35,3.52,484,2025-10-02
100103,Handcrafted Terrarium Kit,Gardening & Decor,Terrarium Kit,50.0,INR,"terrarium_kit,gardening_&_decor,handmade,office,valentine",Handcrafted Terrarium Kit is crafted with care by GreenLeaf. A delightful present for child who loves terrarium kit.,GreenLeaf,unisex,child,3,12,4.49,218,2025-11-04
